index,베타값,대형주,중형주,코스피,time2,time3,time4,거래량,per,IT,"화학,소재",유틸리티,에너지,필수소비재,금융,헬스케어,전기차,건설업,"통신,방송","유통,의류",코로나와 IT,코로나와 전기차,코로나와 헬스케어,,,,,,,,,,,,,,,,,,
,1.194738753,1,0,0,1,0,0,364941.129,13.00341161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.191685933,1,0,0,0,1,0,396576.2033,24.28885282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.355876553,1,0,0,0,0,1,565593.648,18.7464977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
천보,1.096423468,1,0,0,1,0,0,99476.32258,25.92534955,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.291709148,1,0,0,0,1,0,94151,26.65027692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.030036958,1,0,0,0,0,1,281725.496,21.81010557,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
,1.186483139,1,0,0,0,0,0,478716.6667,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
오스코텍,1.186483139,1,0,0,0,0,0,478716.6667,850,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.397773228,1,0,0,1,0,0,201442.129,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.090834902,1,0,0,0,1,0,333126.8293,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.183675338,1,0,0,0,0,1,633607.568,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
메지온,0.965209299,1,0,0,0,0,0,92667.33333,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.829013449,1,0,0,1,0,0,155618.1371,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.462419952,1,0,0,0,1,0,251347.1138,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.012694713,1,0,0,0,0,1,181429.608,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
셀리버리,1.03322255,1,0,0,1,0,0,403682.2339,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.947419769,1,0,0,0,1,0,837865.2439,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.304382938,1,0,0,0,0,1,784584.904,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,1.146364451,1,0,0,0,0,0,528535.2735,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
동진세미켐,1.146364451,1,0,0,0,0,0,528535.2735,10.70778598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.55768854,1,0,0,1,0,0,3443496.815,10.50524761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.99873008,1,0,0,0,1,0,1560715.382,15.38167236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.457414933,1,0,0,0,0,1,2275160.848,11.72770901,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
